Financial Status,Paid at,Fulfillment Status,Fulfilled at,Accepts Marketing,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem price,Lineitem compare at price,Lineitem sku,Shipping Zip,Shipping Province
paid,2023-3-19 10:38,fulfilled,2023-3-20 20:46,no,USD,1352.36,0,0,1352.36,,0,Standard,2023-3-19 10:38,2,379,,BRC-ARM-U-BLK,'80439,CO
,,,,,,,,,,,,,2023-3-19 10:38,4,148.59,,BRC-RLS-U-BLK,,
paid,2023-3-15 16:58,fulfilled,2023-3-17 23:19,no,USD,148.59,0,0,148.59,,0,Standard,2023-3-15 16:58,1,148.59,,BRC-RLS-U-OAK,'33178,FL
paid,2023-3-13 10:49,fulfilled,2023-3-14 14:19,no,USD,297.18,0,0,297.18,,0,Standard,2023-3-13 10:49,2,148.59,,BRC-RLS-U-BLK,'11225,NY
paid,2023-3-2 21:00,fulfilled,2023-3-3 04:21,no,USD,128.68,0,0,128.68,,0,Standard,2023-3-2 21:00,1,128.68,,FLP-A,'84660,UT
partially_refunded,2023-3-2 12:43,fulfilled,2023-3-3 04:21,no,USD,594.36,0,0,594.36,,0,Standard,2023-3-2 12:43,4,148.59,,BRC-RLS-UPH-BLK,'33127,FL
paid,2023-2-22 14:53,fulfilled,2023-2-23 17:43,yes,USD,540.55,0,0,540.55,EF30CK2BP5JH,28.45,Standard,2023-2-22 14:53,1,569,,CDG-CPX-IVY,'90278,CA
paid,2023-2-19 20:40,fulfilled,2023-2-20 10:43,no,USD,148.59,0,0,148.59,,0,Standard,2023-2-19 20:40,1,148.59,,BRC-RLS-RTN-BLK,'75063,TX
paid,2023-1-23 17:30,fulfilled,2023-2-3 08:11,no,USD,498,0,0,498,,0,Standard,2023-1-23 17:30,1,498,,WSL-B3,'10039,NY
paid,2023-1-21 07:15,fulfilled,2023-2-3 08:12,no,USD,138.59,0,0,138.59,,0,Standard,2023-1-21 07:15,1,138.59,,BRC-AMC,'90048,CA
refunded,2023-1-15 06:21,fulfilled,2023-2-3 08:12,no,USD,138.59,0,0,138.59,,0,Standard,2023-1-15 06:21,1,138.59,,BRC-RLS,'90291,CA
paid,2022-11-27 14:11,fulfilled,2022-11-27 21:31,no,USD,19.99,0,0,19.99,,0,Standard,2022-11-27 14:11,1,19.99,19.99,ARMRESTPADSLATEXFOAM01,'11772,NY
paid,2022-9-5 10:18,fulfilled,2022-11-19 22:59,no,USD,19.99,0,0,19.99,,0,Standard ( Arrives 7 days ),2022-9-5 10:18,1,19.99,19.99,ARMRESTPADSLATEXFOAM01,'02038,MA
